"","year_q","acf","cases","tbcases","population","q_population","cnr","conf.low","conf.high","period"
"115","2014.4","ACF",216,"All cases",143330,35832,602.813127930342,525.294902436913,688.493590104033,"post-ACF"
"116","2014.4","Non-ACF",302,"All cases",319639,79910,377.925165811538,336.56657099916,422.947843683959,"post-ACF"
"117","2015.1","ACF",208,"All cases",144207,36052,576.944413624764,501.380716439954,660.628183754222,"post-ACF"
"118","2015.1","Non-ACF",241,"All cases",321550,80388,299.795989451162,263.184310760693,340.063855287236,"post-ACF"
"119","2015.2","ACF",189,"All cases",145083,36271,521.077444790604,449.589126777144,600.654797713905,"post-ACF"
"120","2015.2","Non-ACF",254,"All cases",323462,80866,314.099868918952,276.706549671636,355.124748625512,"post-ACF"
"121","2015.3","ACF",209,"All cases",145960,36490,572.759660180871,497.916122791737,655.626049671134,"post-ACF"
"122","2015.3","Non-ACF",283,"All cases",325377,81344,347.905192761605,308.607057858973,390.807222211761,"post-ACF"
"123","2015.4","ACF",176,"All cases",146839,36710,479.433396894579,411.352100877209,555.520515147088,"post-ACF"
"124","2015.4","Non-ACF",274,"All cases",327285,81821,334.877354224466,296.451194674023,376.888466972405,"post-ACF"
"125","2016.1","ACF",193,"All cases",147717,36929,522.624495653822,451.643989059739,601.547716011019,"post-ACF"
"126","2016.1","Non-ACF",246,"All cases",329199,82300,298.906439854192,262.76408148982,338.619345107427,"post-ACF"
"127","2016.2","ACF",190,"All cases",148591,37148,511.467642941747,441.473008116449,589.361386643545,"post-ACF"
"128","2016.2","Non-ACF",250,"All cases",331114,82778,302.012612046679,265.779076074303,341.795264825778,"post-ACF"
"129","2016.3","ACF",184,"All cases",149470,37368,492.399914365232,423.960245284628,568.698180941559,"post-ACF"
"130","2016.3","Non-ACF",257,"All cases",333025,83256,308.686461035841,272.145086519992,348.755108256307,"post-ACF"
"131","2016.4","ACF",211,"All cases",150348,37587,561.364301487216,488.342655881198,642.175610679715,"post-ACF"
"132","2016.4","Non-ACF",287,"All cases",334937,83734,342.752048152483,304.297828328116,384.707185576281,"post-ACF"
"133","2017.1","ACF",213,"All cases",151225,37806,563.40263450246,490.449402047765,644.099276529724,"post-ACF"
"134","2017.1","Non-ACF",259,"All cases",336849,84212,307.557117750439,271.28567249318,347.315598444011,"post-ACF"
"135","2017.2","ACF",167,"All cases",152103,38026,439.173197286067,375.205393176219,510.881022655139,"post-ACF"
